,player,predicted_points_xg,predicted_rank,total_points,mins,pos,actual_rank
364,Robbie Brady,34.949706646144,365.0,20.0,720.0,MID,382.0
365,Andreas Christensen,34.826620468288,366.0,28.0,707.0,DEF,349.5
366,Leighton Baines,33.9263499896,367.0,6.0,411.0,DEF,438.5
367,Morgan Schneiderlin,33.901002718454,368.0,28.0,834.0,MID,349.5
368,Manuel Lanzini,33.86426557429,369.0,29.0,686.0,MID,344.0
369,Matteo Darmian,33.852109085696,370.0,13.0,525.0,DEF,404.5
370,Aboubakar Kamara,33.787911885576,371.0,31.0,693.0,MID,338.0
371,Joselu,33.684760249576,372.0,29.0,596.0,FWD,344.0
372,Lys Mousset,33.669095000164,373.0,28.0,368.0,FWD,349.5
373,Nathaniel Mendez-Laing,32.976252019838,374.0,79.0,1114.0,MID,164.0
374,Callum Hudson-Odoi,32.78907975843,375.0,25.0,483.0,MID,361.0
375,Phil Jagielka,32.033277808976,376.0,22.0,331.0,DEF,374.0
376,Miguel Almirón,31.07624097961,377.0,22.0,759.0,MID,374.0
377,Daniel Amartey,30.661512492478,378.0,14.0,641.0,DEF,401.0
378,Jason Puncheon,30.1870764832,379.0,15.0,395.0,MID,397.0
379,Divock Origi,30.145427190118,380.0,37.0,371.0,MID,316.0
380,Manolo Gabbiadini,29.669060089292,381.0,23.0,476.0,FWD,370.0
381,Michy Batshuayi,29.124866816408,382.0,47.0,902.0,FWD,275.0
382,Petr Čech,27.40578214,383.0,21.0,584.0,GK,378.5
383,Lewis Cook,27.401642052368,384.0,22.0,723.0,MID,374.0
384,Yoshinori Mutō,27.385385033008,385.0,24.0,524.0,FWD,365.5
385,Kevin McDonald,27.21130271644,386.0,19.0,848.0,MID,384.0
386,Kadeem Harris,27.051896963948,387.0,22.0,386.0,MID,374.0
387,Lucas Pérez,26.96011166081,388.0,31.0,475.0,FWD,338.0
388,Karlan Grant,26.616656522604,389.0,42.0,877.0,FWD,289.5
389,Kevin Long,26.520096775736,390.0,16.0,514.0,DEF,392.0
390,Danny Simpson,25.890032396,391.0,11.0,292.0,DEF,413.5
391,Danny Welbeck,25.745462025574,392.0,17.0,153.0,MID,387.5
392,Sean Longstaff,25.588488305548,393.0,27.0,687.0,MID,353.5
393,Antonio Valencia,25.555067899444,394.0,15.0,466.0,DEF,397.0
394,Çağlar Söyüncü,25.548795992,395.0,9.0,372.0,DEF,427.0
395,Joel Ward,25.093103369432,396.0,12.0,552.0,DEF,409.0
396,Tom Cleverley,24.86280786616,397.0,22.0,478.0,MID,374.0
397,Matěj Vydra,24.664253415248,398.0,21.0,318.0,FWD,378.5
398,Mohamed Elneny,23.76909556293,399.0,12.0,447.0,MID,409.0
399,Hamza Choudhury,23.624429633228,400.0,20.0,595.0,MID,382.0
400,Greg Cunningham,23.31417758764,401.0,9.0,630.0,DEF,427.0
401,Andy Carroll,23.252114119488,402.0,12.0,461.0,FWD,409.0
402,Nathaniel Chalobah,22.913067745282,403.0,11.0,278.0,MID,413.5
403,Leandro Bacuna,21.82468671,404.0,17.0,607.0,MID,387.5
404,Jacob Murphy,21.473786321552,405.0,15.0,302.0,MID,397.0
405,Alexander Sørloth,21.418296422586,406.0,12.0,185.0,FWD,409.0
406,Domingos Quina,20.9037340175,407.0,18.0,351.0,MID,385.0
407,Andriy Yarmolenko,20.875645724530003,408.0,24.0,459.0,MID,365.5
408,Konstantinos Mavropanos,20.533340196682,409.0,1.0,193.0,DEF,490.0
409,Mousa Dembélé,20.26658986,410.0,14.0,515.0,MID,401.0
410,Jon Gorenc Stanković,20.1071919141,411.0,23.0,715.0,MID,370.0
411,Oliver Skipp,19.89059994335,412.0,11.0,220.0,MID,413.5
412,Dominic Solanke,19.573471951452,413.0,15.0,347.0,FWD,397.0
413,Christian Fuchs,19.150609099898,414.0,3.0,207.0,DEF,460.5
414,Adama Diakhaby,19.033879946374,415.0,16.0,552.0,MID,392.0
415,Danny Ward,18.79456791452,416.0,21.0,445.0,FWD,378.5
416,Leon Balogun,18.511382128768,417.0,15.0,594.0,DEF,397.0
417,Tyrone Mings,18.479860846488,418.0,0.0,143.0,DEF,501.5
418,Ben Hamer,18.312081004,419.0,8.0,552.0,GK,433.0
419,Cesc Fàbregas,18.23725105288,420.0,6.0,180.0,MID,438.5
420,Mason Holgate,17.92112272,421.0,5.0,408.0,DEF,443.5
421,Vicente Iborra,17.89895423303,422.0,9.0,229.0,MID,427.0
422,Paulo Gazzaniga,17.070844132,423.0,16.0,360.0,GK,392.0
423,Jack Wilshere,16.869045731502,424.0,13.0,392.0,MID,404.5
424,Stefan Johansen,16.79893756055,425.0,11.0,417.0,MID,413.5
425,Davide Zappacosta,16.28323131984,426.0,10.0,146.0,DEF,419.5
426,Stephen Ward,16.135116354616,427.0,6.0,228.0,DEF,438.5
427,Håvard Nordtveit,16.1237949958,428.0,8.0,362.0,DEF,433.0
428,Marcus Bettinelli,15.628959472,429.0,9.0,630.0,GK,427.0
429,Josh Sims,15.538827613616,430.0,12.0,281.0,MID,409.0
430,Carl Jenkinson,15.50496196,431.0,3.0,211.0,DEF,460.5
431,Jack Simpson,15.060512151048,432.0,10.0,403.0,DEF,419.5
432,Miguel Britos,14.843112052,433.0,4.0,275.0,DEF,451.5
433,Neeskens Kebano,14.54195471254,434.0,8.0,135.0,MID,433.0
434,Alberto Moreno,14.409518852904,435.0,4.0,154.0,DEF,451.5
435,Rajiv van La Parra,14.164425560262,436.0,10.0,405.0,MID,419.5
436,Michael Obafemi,13.86319567176,437.0,13.0,137.0,FWD,404.5
437,Steven Defour,13.140330658,438.0,10.0,448.0,MID,419.5
438,Connor Wickham,12.676281706056,439.0,9.0,67.0,FWD,427.0
439,Samir Nasri,12.428129013336,440.0,14.0,245.0,MID,401.0
440,David Button,11.981074384,441.0,16.0,360.0,GK,392.0
441,Jermain Defoe,11.831373254082,442.0,4.0,25.0,FWD,451.5
442,Gary Cahill,11.778659356,443.0,2.0,24.0,DEF,472.0
443,Ramadan Sobhi,11.656362284898,444.0,4.0,79.0,MID,451.5
444,Peter Crouch,11.424804547872,445.0,5.0,92.0,FWD,443.5
445,Victor Moses,11.416767606208,446.0,2.0,28.0,MID,472.0
446,Marc Navarro,10.773027652,447.0,3.0,85.0,DEF,460.5
447,Danny Williams,10.604608678,448.0,5.0,96.0,MID,443.5
448,Mason Greenwood,10.559705436,449.0,4.0,117.0,MID,451.5
449,Léo Bonatini,10.41324841543,450.0,10.0,135.0,FWD,419.5
450,Denis Suárez,9.587173797,451.0,4.0,71.0,MID,451.5
451,Eddie Nketiah,9.17400379822,452.0,10.0,87.0,FWD,419.5
452,Ben Wilmot,8.904884299999999,453.0,1.0,28.0,DEF,490.0
453,Michel Vorm,8.322651608000001,454.0,5.0,180.0,GK,443.5
454,Sam Gallagher,8.0,455.0,4.0,34.0,FWD,451.5
455,Adrien Silva,7.866238914998,456.0,3.0,88.0,MID,460.5
456,Willy Caballero,7.789043264000001,457.0,13.0,180.0,GK,404.5
457,Ibrahima Cissé,7.209575296,458.0,3.0,88.0,MID,460.5
458,Jazz Richards,7.197180948,459.0,-1.0,132.0,DEF,503.5
459,Rhys Healey,7.1242755604,460.0,3.0,52.0,FWD,460.5
460,Callum Slattery,6.82192998578,461.0,4.0,112.0,MID,451.5
461,Steven Davis,6.30408457194,462.0,9.0,98.0,MID,427.0
462,Bakary Sako,6.212629316,463.0,4.0,29.0,MID,451.5
463,Pape Souaré,6.071503312,464.0,1.0,1.0,DEF,490.0
464,Gary Madine,6.0,465.0,5.0,37.0,FWD,443.5
465,Rafael Camacho,5.904668464,466.0,0.0,1.0,DEF,501.5
466,Ben Gibson,5.564021677472,467.0,5.0,62.0,DEF,443.5
467,Fousseni Diabaté,5.559269134564,468.0,1.0,54.0,MID,490.0
468,John Ruddy,5.489682212,469.0,7.0,90.0,GK,436.0
469,Emerson Hyndman,5.070222748,470.0,1.0,38.0,MID,490.0
470,Carlos Sánchez,4.864941953,471.0,9.0,245.0,MID,427.0
471,Julián Speroni,4.593691216,472.0,1.0,90.0,GK,490.0
472,Sebastian Prödl,4.588118772,473.0,1.0,13.0,DEF,490.0
473,Antonio Barreca,4.539373824,474.0,1.0,5.0,DEF,490.0
474,Ben Johnson,4.375127196,475.0,2.0,62.0,DEF,472.0
475,Stefano Okaka,4.322716135944,476.0,1.0,24.0,FWD,490.0
476,Tahith Chong,4.1419704656,477.0,2.0,38.0,FWD,472.0
477,Abdelhamid Sabiri,4.0,478.0,2.0,48.0,FWD,472.0
478,Collin Quaner,3.79211676284,479.0,2.0,39.0,MID,472.0
479,Demeaco Duhaney,3.7587326,480.0,1.0,45.0,DEF,490.0
480,Vincent Janssen,3.657619622776,481.0,4.0,50.0,FWD,451.5
481,Alex Oxlade-Chamberlain,3.581487043774,482.0,2.0,21.0,MID,472.0
482,Loïc Damour,3.569891998,483.0,2.0,23.0,MID,472.0
483,Angel Gomes,3.0495260604,484.0,2.0,27.0,MID,472.0
484,Aaron Rowe,3.0,485.0,2.0,69.0,FWD,472.0
485,Kayne Ramsey,2.955022104,486.0,1.0,90.0,DEF,490.0
486,Fraser Forster,2.91585146,487.0,2.0,90.0,GK,472.0
487,Joe Willock,2.879279466,488.0,3.0,64.0,MID,460.5
488,James McCarthy,2.741703102,489.0,1.0,15.0,MID,490.0
489,James Garner,2.701748551,490.0,1.0,1.0,MID,490.0
490,Bukayo Saka,2.578819037,491.0,1.0,8.0,MID,490.0
491,Tyreke Johnson,2.5708568740000004,492.0,1.0,1.0,MID,490.0
492,Lazar Marković,2.340146839,493.0,1.0,45.0,MID,490.0
493,Xande Silva,2.3221598548,494.0,1.0,18.0,FWD,490.0
494,Sam Surridge,2.13841725664,495.0,2.0,13.0,FWD,472.0
495,Matty Daly,2.073291858,496.0,2.0,75.0,MID,472.0
496,Mark Travers,1.986694316,497.0,8.0,180.0,GK,433.0
497,Harvey Elliott,1.273146678,498.0,2.0,20.0,MID,472.0
498,Max Kilman,1.118472368,499.5,1.0,1.0,DEF,490.0
499,Will Norris,1.118472368,499.5,1.0,1.0,GK,490.0
500,Joel Coleman,0.0,502.5,2.0,90.0,GK,472.0
501,Fabricio,0.0,502.5,6.0,180.0,GK,438.5
502,Luke Dreher,0.0,502.5,1.0,1.0,MID,490.0
503,Luke Amos,0.0,502.5,1.0,3.0,MID,490.0
